jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english
Overall||Overall||Gameplay||Story and story telling technique||Music and audio effect||Graphics and visual effect||Innovation and technology application,2019-06-30 15:59:59,clockworkpi,The 2nd GameShell Game Jam (2019Q2),11,37,4,2019-04-20 15:59:59,https://www.itch.io/jam/gameshell-19q2,y
Overall||Mechanic||Art||Sound||Depressive,2017-02-08 15:00:00,Maneivos,THE LAST HOPE JAM,11,0,1,2017-02-06 15:00:00,https://www.itch.io/jam/the-last-hope,y
,2019-05-26 23:00:00,Fatenplay,Fatenp 2019-1,11,0,7,2019-05-24 23:00:00,https://www.itch.io/jam/fatenp-2019-1,u
Eccentric||Visual||Creativity||Entertaining||Audio,2018-09-10 03:59:59,LexLoco||Odd Weekend Game Jam,Odd Week Long Game Jam 2,11,2,2,2018-08-31 04:00:00,https://www.itch.io/jam/odd-week-long-game-jam-2,y
Overall,2018-04-01 06:59:59,Steven Multiverse,Grandle Jam,11,0,2,2018-03-14 07:00:00,https://www.itch.io/jam/grandle,y
,2019-08-04 22:00:00,IGDA Chicago,Retro Game Jam 2019,11,0,4,2019-08-02 22:00:00,https://www.itch.io/jam/retro-game-jam-2019,u
,2017-10-07 08:00:00,Gwen Foster,Games and Politics Game Jam 2017,11,0,8,2017-10-06 16:00:00,https://www.itch.io/jam/games-and-politics-game-jam-,u
"Overall||Theme match||Graphics||SFX and Music||Gameplay(mechanics, bugs, features)",2018-08-03 18:40:00,legendiguess,"48 Hour Jam №1: ""Heat""",11,29,7,2018-08-01 18:40:00,https://www.itch.io/jam/48-hour-jam-1,y
,2018-08-12 16:21:00,AdrianRivero,Island Jam IV,11,0,10,2018-08-11 23:00:00,https://www.itch.io/jam/island-jam-iv,u
,2019-07-06 14:00:00,Mafalda Claro,End of The Year Game Jam 2nd Edition,11,0,3,2019-06-28 14:00:00,https://www.itch.io/jam/end-of-the-year-game-jam-2nd-edition,u
Overall,2013-09-23 05:36:30,leafo,Saltworld.net #SWJAM 2013,11,0,11,2013-09-15 05:36:30,https://www.itch.io/jam/saltw,y
,2018-04-30 03:59:59,LexLoco,Odd Weekend Game Jam 4,11,0,1,2018-04-27 04:00:00,https://www.itch.io/jam/odd-weekend-game-jam-4,u
Overall||Respect de la fonction||Compléxité de la fonction,2016-11-07 22:59:59,Heidoji,Jam GameCodeur - Octobre 2016,11,1,3,2016-10-01 10:00:00,https://www.itch.io/jam/jam-gamecodeur---octobre-2016,n
,2017-11-01 04:59:59,LittleBro,Halloween Jam,11,0,6,2017-10-16 03:35:32,https://www.itch.io/jam/halloween-jam-2017,u
Overall,2017-01-02 22:59:59,P1X,Hangover Game Jam 2017,11,0,5,2016-12-31 23:00:01,https://www.itch.io/jam/hangover-game-jam-2017,y
,2018-08-23 05:00:00,Tartle Games,Vulcan Jam Ⅱ,11,0,3,2018-08-09 05:00:00,https://www.itch.io/jam/vulcanjam2,u
,2019-05-01 07:00:00,Tofu Sheets Visual,The worst VN ever created! [2019 revival],11,0,3,2019-04-01 07:00:00,https://www.itch.io/jam/the-worst-vnkn-ever-created-2019,u
Overall||Ninja Related||Fun||Art||Creativeness,2018-05-20 23:00:00,CitybuilderStudios,The Ninja Game Jam,11,1,1,2018-04-20 23:00:00,https://www.itch.io/jam/the-ninja-game-jam,y
Overall||Overall||Fun||Innovation||Theme||Aesthetics||Sound,2017-06-26 02:00:00,Catwheel,Peach June Jam,11,0,1,2017-06-24 01:00:00,https://www.itch.io/jam/peach-june-jam,y
,2018-06-17 02:59:59,piolhodecobra,Criação de Jogos Arte #2,11,0,8,2018-05-12 12:00:00,https://www.itch.io/jam/criao-de-jogos-arte-2,u
,2015-04-05 07:00:00,justin35f||Shivers||shawn,Teamup Jam 01,11,0,11,2015-04-03 07:00:00,https://www.itch.io/jam/teamup-jam-01,u
,2019-04-15 02:59:00,Game Jam das Minas,Game Jam das Minas 2019,11,0,6,2019-03-22 03:00:00,https://www.itch.io/jam/jam-das-minas-2019,u
Overall||Gameplay||Theme||Originality||Polish,2017-12-16 02:29:59,AIE Seattle,Battle for Train Jam 2017,11,0,10,2017-12-15 17:00:00,https://www.itch.io/jam/bftj2017,y
,2018-02-11 15:50:00,La Belle,UrbanJam,11,0,8,2018-02-09 19:00:00,https://www.itch.io/jam/urbanjam,u
,2019-03-31 06:00:00,VGDA,VGDA Spring'19 24 Hour Game Jam,11,0,6,2019-03-30 00:00:00,https://www.itch.io/jam/vgda-spring19-24-hour-game-jam,u
,2019-04-30 04:00:00,Darezar of Eledris,"Chronicles GameDev Challenge, Week 4",11,0,2,2019-04-23 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-4,u
,2019-10-28 23:00:00,TheMadPigster,THE Rainbow Jam/Contest - October,11,0,1,2019-10-01 13:00:00,https://www.itch.io/jam/the-rainbow-jam-october,u
Overall||Gameplay||Theme||Innovation||Aesthetics||Sound,2018-03-08 00:00:00,XIFI,GIAW - Game In A Week,11,0,1,2018-03-01 00:00:00,https://www.itch.io/jam/giaw1,y
,2019-09-01 22:59:59,jackdawfactories,Lead Roll,11,0,2,2019-08-29 23:00:00,https://www.itch.io/jam/lead-roll,u
"""memery"" of the game||games idea||it works...?||is the game dank enough!?||use of unique/good memes||dickbutt?",2017-08-26 21:00:00,alipapapupu||xraiski,Meme game jam!,11,18,6,2017-08-25 21:00:00,https://www.itch.io/jam/meme-game-jam,y
Overall||Playability||Artistry||Conspiracy-y,2016-10-10 07:00:00,Alxuh (Alexa),Conspiracy Jam,11,18,6,2016-09-12 07:00:00,https://www.itch.io/jam/conspiracy-jam,y
"Overall||Originalidad: Entre menos se parezca a cualquier viaje conocido mejor.||12 Trabajos: ¿Es un viaje para un hombre o para una partida de D&D?||Jaffar: ¿Tan complicado que los villanos requieren contratar héroes?||Mordor: ¿El viaje es ""imposible""?||Leyenda: ¿Este viaje te vale un estatus de leyenda?",2017-12-11 05:59:59,Germinadora de Ideas||@Dottora AstroROLoga,Praxis 1 El Reto (Segunda parte),11,56,8,2017-12-08 06:00:00,https://www.itch.io/jam/praxis-1-el-reto-segunda-parte-,n
,2018-11-05 04:00:00,ILoveToJam,Extra Jam 2,11,0,4,2018-11-03 15:00:00,https://www.itch.io/jam/extra-jam-2,u
Overall||Gameplay||Criatividade com o tema||Estilo visual||Áudio,2019-07-22 03:00:00,lunawitcher,GAMMANET GameJam,11,15,3,2019-07-19 21:00:00,https://www.itch.io/jam/gammanet-gamejam,n
Overall||Game||Use of the theme,2016-03-31 21:59:59,dibuzapping||Akien,Godot Engine Jam 03/2016,11,117,11,2016-03-14 23:00:00,https://www.itch.io/jam/godotjam032016,y
,2015-03-01 20:00:00,gdp,GDP Space Jam,11,0,10,2015-02-27 20:00:00,https://www.itch.io/jam/gdp-space-jam,u
"Criatividade(Creativety)||Game play/Diversão(Fun)||Musica(""Music"")||Efeito de Som(""Sound FX"")||Melhor Interpretação do Tema(Best Interpretation of the theme)",2018-07-10 02:59:59,gibjam,GIBJAM2018-Jun,11,0,1,2018-06-30 02:59:59,https://www.itch.io/jam/gibjam2018jun,n
,2019-10-05 22:00:00,SirHatchling,The Hatched Jam,11,0,1,2019-09-29 22:00:00,https://www.itch.io/jam/the-hatched-jam,u
"Most ROTTEN! game! <3||Overall best game! <3||Most creative game! <3||Most flavorful game! <3||""I want that on a T-shirt! <3""",2019-09-01 19:00:00,joshfickes,ROTTEN! Game Jam,11,20,8,2019-08-30 19:00:00,https://www.itch.io/jam/rotten-game-jam,y
,2015-01-18 22:49:49,MidBoss,GXDev,11,0,9,2015-01-10 02:00:00,https://www.itch.io/jam/gxdev,u
Overall||Idea||Graphics||Gameplay||Theme||Sound,2014-11-23 16:00:00,andreadst,MONSTER GAMEJAM,11,124,10,2014-11-22 08:00:00,https://www.itch.io/jam/monster-gamejam,y
,2017-08-07 10:00:00,LucasLislo,Mechanic Mix Jam,11,0,2,2017-08-02 06:00:00,https://www.itch.io/jam/mechanic-mix,u
,2017-04-18 07:00:00,Potatoes Are Not Explosive,WWU Spring Game Jam 2017,12,0,7,2017-04-15 17:00:00,https://www.itch.io/jam/wwu-game-jam-s17,u
"How fun is the game?||How innovative is the game? Unique, inventive, interesting?||How pretty is the game? (Art + Audio)||How much potential do you think this game has if developed further?",2019-03-18 19:00:00,Gunnar Clovis||Whim Independent Studios,IGDA Las Vegas Online Game Jam (OGJ) 01,11,2,1,2019-03-04 20:00:00,https://www.itch.io/jam/igda-las-vegas-online-game-jam-1,y
,2017-11-30 05:00:00,Meg Ziegler,Game Jam by the Apocalypse,12,0,1,2017-10-01 04:00:00,https://www.itch.io/jam/game-jam-by-the-apocalypse,u
"""The Island"" -theme appeared in the game?||The game had (some) unique mechanics||The game worked (rather) smoothly",2019-08-25 20:59:59,Jestercraft,#JesterJam 2,11,7,4,2019-08-22 13:00:00,https://www.itch.io/jam/jesterjam-2-2019,y
THEME!||Colors||Gameplay||Music/Sounds||Art,2019-06-06 11:00:00,TheMadPigster,Weekly Rainbow Jam - Week 1,11,1,1,2019-05-31 07:00:00,https://www.itch.io/jam/weekly-rainbow-jam-1,y
,2018-10-30 23:00:00,StenoArtico,Orctober Jam 2018,12,0,3,2018-10-06 22:00:00,https://www.itch.io/jam/orctober-jam-2018,u
Overall||How Creative the game is.||How Good it looks.||How fun it is.||How much effort.,2018-05-20 04:59:59,winniethefacebank,"""Do Whatever You Want"" Jam",11,0,3,2018-05-12 05:00:00,https://www.itch.io/jam/manalltheurlsaretaken,y
NQER||Idea||Design||Game play,2019-05-22 05:00:00,halcome,Not Quite Expected,11,3,3,2019-05-01 05:00:00,https://www.itch.io/jam/not-quite-expected,y
Overall||design||diversão||surpresa||relaxamento||loucura,2017-11-26 02:00:00,Thaisa,Super Design Game Jam 2-2017,11,40,11,2017-11-24 02:00:00,https://www.itch.io/jam/super-design-game-jam-2-2017,n
Overall,2019-10-14 05:00:00,TigerDev,TigerDev Fall Break 2019 Jam,11,0,3,2019-10-10 16:00:00,https://www.itch.io/jam/tigerdev-fall-break-2019-jam,y
Overall||Accurate Depiction of Real Farm Life||Sufficient Amount of Moving Action||Serious Hack'n'Slash Ingredients||Impressed by Technical Aspects||Did You Feel Something While Playing?,2016-09-13 22:00:00,Adam,Duality Tilemaps Jam,11,16,5,2016-08-11 22:00:00,https://www.itch.io/jam/duality-tilemaps-jam,y
Geral||Arte||Jogabilidade||Som||Tema,2018-11-11 01:55:00,Potreik||Xlindvain||baioc,UFSC Game Jam,11,19,5,2018-11-02 02:55:00,https://www.itch.io/jam/ufsc-game-jam,n
Overall,2019-08-25 18:30:00,Jannek,Viking Jam,11,0,2,2019-06-28 07:00:00,https://www.itch.io/jam/viking-jam,y
Overall||Raspberriness||Graphics||Gameplay,2015-09-20 04:00:00,Robot Loves Kitty,GameKid Raspberry Jam,12,0,5,2015-09-13 04:00:00,https://www.itch.io/jam/raspberry-jam,y
,2018-12-08 07:15:00,NUSGDG,Gamecraft 2018!,12,0,8,2018-12-07 05:30:00,https://www.itch.io/jam/gamecraft2018,u
,2018-04-22 16:30:00,AdrianRivero||Laura del Pino Díaz,Island Jam III,12,0,10,2018-04-21 23:00:00,https://www.itch.io/jam/island-jam-iii,u
,2019-03-10 18:15:00,Pebsie,CanJam 2019,12,0,12,2019-03-08 00:00:00,https://www.itch.io/jam/canjam-2019,u
"Enjoyment of gameplay||Originality||Accessibility (OS and different aspect ratio support)||Smoothness (obviously varies on devices, but should be generally jitter free)||Relatedness to theme||Aesthetic||Ease to begin playing||Music",2017-11-08 06:59:59,Wheaton High School VMC,Fall Game Jam,12,8,2,2017-10-05 22:43:43,https://www.itch.io/jam/fall-game-jam,y
,2018-09-24 19:30:00,Loveship Hypernova,Loveship Hypernova - Anything Goes Jam!,12,0,6,2018-06-08 07:00:00,https://www.itch.io/jam/loveship-hypernova-anything-goes-jam,u
,2018-12-09 04:00:00,Knives,W3 Game Jam (y18w49),12,0,1,2018-12-02 04:00:00,https://www.itch.io/jam/w3-game-jam-y18w49,u
Overall||Gameplay||Graphics||Sound||Music,2017-10-15 22:00:00,kreibich,64 kB JAM 2017,12,4,4,2017-09-14 22:00:00,https://www.itch.io/jam/64-kb-jam,y
,2014-11-21 04:00:00,TAG_lab,GAMERella 2014,12,0,9,2014-11-09 14:00:00,https://www.itch.io/jam/gamerella-2014,u
,2017-04-12 07:00:00,TheLordofThorns,#Trans-Dimensional,12,0,2,2017-03-16 23:57:56,https://www.itch.io/jam/game-concepts,u
,2018-12-17 08:00:00,Kindred,The Kinjam,12,0,6,2018-12-14 08:00:00,https://www.itch.io/jam/the-kinjam,u
,2019-07-15 01:00:00,Paul,Mini-jam GJA,12,0,2,2019-07-13 01:00:00,https://www.itch.io/jam/mini-jam-gja,u
,2018-11-09 08:00:00,m0dE,$50 Prize - modd.io MMO jam vol.4,12,0,2,2018-10-26 07:00:00,https://www.itch.io/jam/make-mmorpg-in-2-weeks-using-moddio-jam,u
,2016-05-30 06:59:59,Polymoon Games,Bot Says Jam,12,0,5,2016-05-27 18:00:00,https://www.itch.io/jam/bot-says-jam,u
Overall||Content||Art||Theme||Recommended,2017-02-13 17:00:00,RaynCat,2017 Love Jam,12,0,1,2016-12-31 17:00:00,https://www.itch.io/jam/lovejam,y
Overall||Did it follow the Theme?||Did it follow the Limitations?||How where the Graphics?||Was it Creative?,2019-08-31 05:00:00,erstelgames,Erstel Game Jam #1,12,10,3,2019-08-01 05:00:00,https://www.itch.io/jam/erstelgamejam1,y
Overall||Originalidad||Domi-liche: ¿Es un villano para una película o para una partida de D&D?||Villanía: ¿Es capa de más grandes fechorías?||Malefica: ¿Su maldad es tanta que va más allá de lo que hace?||Zimm: ¿El uso de unos aventureros es necesario o solo estupidez?,2017-12-26 05:59:31,@Dottora AstroROLoga||Germinadora de Ideas,Praxis 1 El Reto (Tercera parte),12,70,11,2017-12-17 06:00:00,https://www.itch.io/jam/praxis-1-el-reto-tercera-parte,n
Overall,2019-10-03 04:00:00,techdrone,MultiGame Jam,12,0,1,2019-09-27 04:00:00,https://www.itch.io/jam/multigame,y
,2016-07-21 05:00:00,KingofSushi,Lynch Jam,12,0,1,2016-07-01 05:00:00,https://www.itch.io/jam/lynchjam,u
Darkness in end||Innocence in Beginning||Uniqueness||Aesthetic||Gameplay,2019-02-22 05:00:00,Devrixiar,The Hard Truth,12,0,3,2018-12-15 05:00:00,https://www.itch.io/jam/reality,y
,2019-10-03 06:59:59,toiletsnakes||KitKatarine||Stealthix,Buddy Jam 10,12,0,2,2019-09-01 07:00:00,https://www.itch.io/jam/buddy-jam-10,u
,2017-08-21 06:59:59,AlSweigart,2017 STDIO Game Jam,12,0,6,2017-08-19 07:00:00,https://www.itch.io/jam/2017-stdio-game-jam,u
How well the theme was used||Best Running||Controls,2018-09-09 16:00:00,AbandonedGaming||KamekFox,Abandoned Game Jam,12,7,3,2018-09-07 16:00:00,https://www.itch.io/jam/abandoned-game-jam-with-foxes,y
Hur roligt var spelet?||Hur roligt var skämtet?||Minimalistiskt?,2019-04-13 20:00:00,Saikyun,Kodsnacks Tvåveckorssylt - Andra Omgången,12,9,4,2019-03-29 05:00:00,https://www.itch.io/jam/spelsylt,n
,2019-01-20 23:00:00,GreenStar Studio,64x64 Jam,12,0,1,2019-01-17 23:00:00,https://www.itch.io/jam/64x64-game-jam,u
,2018-06-30 21:59:59,Andrey Kuzmin||Sam Gwilym,Elm Game Jam — Trade and Commerce,12,0,1,2018-04-30 22:00:00,https://www.itch.io/jam/elm-game-jam-may-jun-2018,u
,2018-07-16 02:00:00,Turtle95,Shovel Jam II,12,0,1,2018-07-14 00:00:00,https://www.itch.io/jam/shovel-jam-2,u
,2017-11-12 09:00:00,UL Game Development Society,UL Games Jam,12,0,6,2017-11-11 10:00:00,https://www.itch.io/jam/ul-games-jam,u
Overall||Art||Sound||Design||Cat-ness,2017-07-07 03:59:59,kittenoah,Cat Jam,12,5,5,2017-06-30 03:59:59,https://www.itch.io/jam/cat-jam,y
,2015-11-05 09:00:00,KivaBay,Little Bytes,12,0,1,2015-10-15 08:00:00,https://www.itch.io/jam/littlebytes,u
,2018-11-18 00:00:00,Marina Díez,Unofficial #politicalbitsyjam 2018,12,0,2,2018-11-12 00:00:00,https://www.itch.io/jam/unofficial-politicalbitsyjam-2018,u
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-05-13 09:00:00,rocknightstudios,Trijam #19. Do you dare to try?,12,8,5,2019-05-10 09:00:00,https://www.itch.io/jam/trijam-19,y
,2019-09-11 13:00:00,Maschinen-Mensch||BUG Game Lab,Games & Politics Game Jam Thessaloniki,12,0,9,2019-09-09 09:00:00,https://www.itch.io/jam/games-politics-thessaloniki,u
,2019-02-10 01:10:00,qwop bear,Saturday Jam Live: Twine,12,0,11,2019-02-09 22:00:00,https://www.itch.io/jam/saturday-jam-live-twine,u
,2016-08-22 04:00:00,PTBO Game Jam,PTBO Game Jam,12,0,9,2016-08-13 15:00:00,https://www.itch.io/jam/ptbogamejam01,u
,2019-06-30 02:00:00,Squiggly River,Squiggly River Pride Jam,12,0,5,2019-06-08 14:00:00,https://www.itch.io/jam/squiggly-river-pride-jam,u
,2019-10-28 02:00:00,USC MEGA,Newbies and Vets,12,0,9,2019-10-26 01:20:00,https://www.itch.io/jam/newbies-and-vets,u
Overall||Most True to Tim Burton||Runner Up for Most True to Tim Burton||Best Artwork,2016-11-15 07:59:59,Onyx_DiAngelo,Tim Burton Jam,12,1,1,2016-10-17 07:00:00,https://www.itch.io/jam/tim-burton-jam,y
,2019-04-19 16:00:00,san_tagoy,Supervillain Redemption Jam,12,0,4,2019-03-25 16:00:00,https://www.itch.io/jam/supervillain-redemption-jam,u
Overall,2019-09-03 21:00:00,Irina Ilie,Exploration ⛵,12,0,5,2019-04-11 21:00:00,https://www.itch.io/jam/exploration,y
,2018-12-14 20:00:00,fabiano_smile||Jogos Digitais Vasco Coutinho,CEET GAME JAM 2018/2,12,0,10,2018-12-12 02:00:00,https://www.itch.io/jam/ceet-game-jam-20182,u
,2019-07-11 13:30:00,Nachimir,Develop Game Jam 2019,12,0,9,2019-07-09 23:00:00,https://www.itch.io/jam/develop-game-jam-2019,u
Best game - community||Best game - hosts,2018-09-19 13:00:00,Enter Entertainment,EnterJam 3,12,1,1,2018-09-16 15:00:00,https://www.itch.io/jam/ejam3,y
,2017-08-20 23:00:00,613_Buck,August Game Jam 2017,12,0,2,2017-08-19 21:00:00,https://www.itch.io/jam/august-game-jam-2017,u
"It shouldn't have any adult rated content||Made with Unity, UE, or RPG Maker for the RPG.||It must be a complete game, not a demo.||It should not have any type of copyrighted material.",2019-05-22 03:59:59,WarKatz,Video Game Genre Gala,12,0,1,2019-04-22 04:00:00,https://www.itch.io/jam/videogame-genre-gala-by-warkatz,y
,2018-11-27 02:00:00,Soviet,48 Hour Turbo Jam,12,0,2,2018-11-24 02:00:00,https://www.itch.io/jam/48-hour-turbo-jam,u
,2019-07-16 06:59:59,JustKay,July Rainbow Jam 2019,12,0,1,2019-07-12 07:00:00,https://www.itch.io/jam/july-rainbow-jam-2019,u
,2018-06-18 16:00:00,Galway Game Jam,Galway Game Jam 10,12,0,5,2018-06-16 08:00:00,https://www.itch.io/jam/galway-game-jam-10,u
,2014-10-12 10:00:00,Spierek,Komiks Festiwal Game Jam,12,0,11,2014-10-02 22:00:00,https://www.itch.io/jam/komiks-festiwal-game-jam,u
,2018-10-22 07:00:00,Video Game Development Club at UC Irvine,Fall 2018 Proto-Game Jam,12,0,10,2018-10-19 07:00:00,https://www.itch.io/jam/fall-2018-proto-game-jam,u
,2017-12-09 20:00:00,ben lusted,Safe and Sound Jam,12,0,1,2017-12-01 16:00:00,https://www.itch.io/jam/safe-and-sound-jam,u
Overall||GamePlay||Graphics||Sound||Overall Fun,2014-12-01 04:59:59,Sefrojones,The Very First LiveCode Game Jam,12,62,14,2014-10-01 04:00:00,https://www.itch.io/jam/the-very-first-livecode-game-jam,y
Geral||Arte||Gameplay||Som||História,2019-08-18 20:15:00,Dev-U,Devujam #4 - Manual is missing,12,0,5,2019-08-12 03:00:00,https://www.itch.io/jam/devujam4,n
,2019-06-04 03:59:59,Red Iron Games,Impromptu Game Jam #1,12,0,1,2019-05-31 23:00:00,https://www.itch.io/jam/impromptu-game-jam-1,u
,2017-12-23 20:00:00,bilgigame||Efe Alaçamlı,GameJam.02,12,0,7,2017-12-23 06:00:00,https://www.itch.io/jam/bilgigame-gamejam02,u
Overall||Cooperative or competitive aspect||Fun||Theme||Visuals||Audio,2019-03-18 16:00:00,James Longo,CO-OP JAM #1,12,0,3,2019-03-15 16:00:00,https://www.itch.io/jam/co-op-jam-1,y
"Overall||How well does the nudity incorporate in the game?||Is the game objectively fun? If everyone stayed clothed, would I still enjoy it?||How original is it? Was the game unique beyond the nudity?",2018-03-30 13:00:00,JaminTheSandwich,Noticeably Naked Jam (with prize),12,14,2,2018-03-23 13:00:00,https://www.itch.io/jam/noticeably-naked-jam,y
Overall,2016-03-31 18:00:00,PTMedia,Unity Jam,12,0,10,2016-02-01 19:00:00,https://www.itch.io/jam/unity-jam,y
,2019-07-16 04:00:00,Darezar of Eledris,"Chronicles GameDev Challenge, Week 15",12,0,2,2019-07-09 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-15,u
,2019-03-01 01:59:00,semicode,QuickJam,12,0,11,2019-02-28 21:30:00,https://www.itch.io/jam/quickjam,u
,2017-07-02 05:00:00,Tartle Games||tgruenwald,BHam Jam,12,0,5,2017-06-02 05:00:00,https://www.itch.io/jam/bhamjam,u
Overall,2017-07-17 08:00:00,vikhik,#SunJam,12,0,6,2017-07-14 08:00:00,https://www.itch.io/jam/sunjam,y
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-04-08 09:00:00,rocknightstudios,Trijam #14 - the 3 hour game jam!,12,27,6,2019-04-05 09:00:00,https://www.itch.io/jam/trijam-14,y
How well it took inspiration from the Song||How Fun it was (Game Play Whys)||How Beautiful  it was (Look Whys)||How Interesting it was (Storie Whys)||How well it followed the Rules,2018-08-31 05:01:02,ZodiacStories,Panic At The Disco,12,0,2,2018-08-01 05:01:01,https://www.itch.io/jam/panic-at-the-disco,y
Overall||respect of theme||respect of my random rule||ramdoness||graphics||sounds and music||gameplay,2018-10-18 03:00:00,Lord Pillows,the random game jam,12,1,1,2018-10-15 03:00:00,https://www.itch.io/jam/the-random-game-jam,y
,2019-10-06 22:00:00,Claire Morley,Fuse Jam #3 Maps and Memories,12,0,10,2019-10-06 13:00:00,https://www.itch.io/jam/fuse-jam-3,u
Overall||El juego es divertido||El juego es bonito||El juego tiene unas mecánicas muy bien trabajadas||El juego es original,2016-06-06 04:59:59,Jacinto Quesnel,"Jam de Juegos de Mesa, Rol y Cartas del CCD 2016",12,0,9,2016-06-03 20:00:00,https://www.itch.io/jam/mermelada-de-mesa-2,n
Overall,2018-12-31 20:00:00,Ofihombre,Wreck-It Ralph Game Jam,12,0,7,2018-04-19 20:29:00,https://www.itch.io/jam/wreck-it-ralph-game-jam,y
,2018-09-23 17:40:00,GDD@Berkeley,Bear Jams,12,0,7,2018-09-22 03:00:00,https://www.itch.io/jam/bear-jams,u
,2017-04-30 06:59:59,JustKay,Raining Rainbow Jam,12,0,1,2017-04-16 07:00:00,https://www.itch.io/jam/raining-rainbow-jam,u
,2017-05-21 22:00:00,Maschinen-Mensch,Gr8ArtGames - Jakarta,12,0,10,2017-05-18 22:00:00,https://www.itch.io/jam/gr8artgames---jakarta,u
Overall||Overall||Graphics||Gameplay||Audio||Controls||Theme,2017-11-05 23:20:00,Yukon W.,IGDA Becker Chapter Autumn Arcade Jam 2017,12,18,10,2017-11-03 22:00:00,https://www.itch.io/jam/igda-becker-arcade-jam,y
Overall,2018-06-17 14:00:00,Bitgem 3D,Bitgem Game Jam #10,12,0,4,2018-05-20 14:00:00,https://www.itch.io/jam/bitgem-game-jam-10,y
,2017-02-13 00:00:00,Jonathan Giroux (Koltes),Weekly Hour Game Jam - W6 2017,12,0,6,2017-02-06 00:00:00,https://www.itch.io/jam/weekly-hour-game-jam---w6-2017,u
